City,State,Old_Bucket,City_Bucket,Final_Population,Instances
VALLIYUR,TAMIL NADU,Tier 6,Tier 4,30000,74
JASHPUR NAGAR,CHHATTISGARH,Tier 6,Tier 4,30000,41
DHANDHUKA,GUJARAT,Tier 6,Tier 4,30000,5
KARELI,MADHYA PRADESH,Tier 6,Tier 4,30000,2
SITARGANJ,UTTARAKHAND,Tier 6,Tier 4,29965,4
NABARANGAPUR,ORISSA,Tier 4,Tier 4,29960,198
SAMALKHA,HARYANA,Tier 6,Tier 4,29866,312
KOTTARAKARA,KERALA,Tier 6,Tier 4,29788,216
MUVATTUPUZHA,KERALA,Tier 6,Tier 4,29246,203
MORIGAON,ASSAM,Tier 6,Tier 4,29182,34
ADOOR,KERALA,Tier 6,Tier 4,29171,175
UTHAMAPALAYAM,TAMIL NADU,Tier 6,Tier 4,29050,56
ARIYALUR,TAMIL NADU,Tier 4,Tier 4,28902,85
NAHAN,HIMACHAL PRADESH,Tier 6,Tier 4,28899,985
LADWA,HARYANA,Tier 6,Tier 4,28887,12
MAVELIKKARA,KERALA,Tier 6,Tier 4,28439,131
SHAHPURA,MADHYA PRADESH,Tier 6,Tier 4,28174,325
NALBARI,ASSAM,Tier 4,Tier 4,27839,84
CHAMBA,HIMACHAL PRADESH,Tier 5,Tier 4,27771,606
SANKAGIRI,TAMIL NADU,Tier 6,Tier 4,27454,39
NOKHA,RAJASTHAN,Tier 5,Tier 4,27302,59
CHHOTA UDAIPUR,GUJARAT,Tier 6,Tier 4,27000,188
SENKOTTAI,TAMIL NADU,Tier 6,Tier 4,27000,1
SHIRUR,MAHARASHTRA,Tier 6,Tier 4,26999,14
NAGARKURNOOL,TELANGANA,Tier 6,Tier 4,26801,56
KODAD,ANDHRA PRADESH,Tier 6,Tier 4,26742,36
RUDRAPUR,UTTARANCHAL,Tier 6,Tier 4,26683,268
PERUMBAVOOR,KERALA,Tier 6,Tier 4,26547,271
SHRIGONDA,MAHARASHTRA,Tier 6,Tier 4,26324,3
MADHUGIRI,KARNATAKA,Tier 6,Tier 4,26304,117
MAHRAJGANJ,UTTAR PRADESH,Tier 6,Tier 4,26272,517
TIRUPATHUR,TAMIL NADU,Tier 5,Tier 4,25980,74
CHOUTUPPAL,ANDHRA PRADESH,Tier 6,Tier 4,25630,54
VIJAPUR,GUJARAT,Tier 6,Tier 4,25558,3
BAJPUR,UTTARANCHAL,Tier 6,Tier 4,25524,3
PAURI,UTTARANCHAL,Tier 6,Tier 4,25440,262
PAONTA SAHIB,HIMACHAL PRADESH,Tier 6,Tier 4,25000,1462
KODARMA,JHARKHAND,Tier 5,Tier 4,25000,469
BASSI PATHANA,PUNJAB,Tier 6,Tier 4,25000,26
HARUR,TAMIL NADU,Tier 6,Tier 4,25000,36
SULTANPUR LODHI,PUNJAB,Tier 6,Tier 4,25000,17
AMLOH,PUNJAB,Tier 6,Tier 4,25000,63
DERA BABA NANAK,PUNJAB,Tier 6,Tier 4,25000,4
SHAHKOT,PUNJAB,Tier 6,Tier 4,25000,10
BALACHAUR,PUNJAB,Tier 6,Tier 4,25000,28
AHMEDGARH,PUNJAB,Tier 2,Tier 2,25000,10
ANANDPUR SAHIB,PUNJAB,Tier 6,Tier 4,25000,56
JAITU,PUNJAB,Tier 6,Tier 4,25000,3
DERABASSI,PUNJAB,Tier 6,Tier 4,25000,78
SAMRALA,PUNJAB,Tier 6,Tier 4,25000,20
FATHEGAR CHURIYA,PUNJAB,Tier 6,Tier 4,25000,7
SARDULGARH,PUNJAB,Tier 6,Tier 4,25000,2
KURALI,PUNJAB,Tier 6,Tier 4,25000,3
KHAMANON,PUNJAB,Tier 6,Tier 4,25000,6
MOONAK,PUNJAB,Tier 6,Tier 4,25000,3
AJNALA,PUNJAB,Tier 6,Tier 4,25000,4
ARUMUGANERI,TAMIL NADU,Tier 6,Tier 4,25000,3
PATRAN,PUNJAB,Tier 6,Tier 4,25000,5
BHULATH,PUNJAB,Tier 6,Tier 4,25000,7
PAYAL,PUNJAB,Tier 6,Tier 4,25000,8
BAGHA PURANA,PUNJAB,Tier 6,Tier 4,25000,12
TALWANDI SABO,PUNJAB,Tier 6,Tier 4,25000,4
DHARIWAL,PUNJAB,Tier 6,Tier 4,25000,1
RAIKOT,PUNJAB,Tier 6,Tier 4,24769,12
